case_id,category,v1_reference,competence_date,consultant_profile,operation_amount,received_amount,tps_percent,prior_month_production,receipt_status,reversal_amount,leader_profile,expected_consultant_commission,expected_leadership_commission,expected_finalization_commission,expected_bko_commission,expected_total_commission,expected_proposal_status,notes
SCL-002,SCALED,SYNTH-SCL-002,2026-08-04,CONSULTOR_MEI_ESCALONADO,20000.00,7000.00,35.00,70000.00,CONFIRMED,0.00,NONE,665.00,0.00,0.00,0.00,665.00,PAID,Cruza de 70 mil para 90 mil com rateio marginal
SCL-003,SCALED,SYNTH-SCL-003,2026-08-04,CONSULTOR_MEI_ESCALONADO,10000.00,3500.00,35.00,175000.00,CONFIRMED,0.00,NONE,402.50,0.00,0.00,0.00,402.50,PAID,Faixa mensal tres e TPS 35
SCL-004,SCALED,SYNTH-SCL-004,2026-08-05,CONSULTOR_MEI_ESCALONADO,10000.00,3000.00,30.00,0.00,CONFIRMED,0.00,NONE,180.00,0.00,0.00,0.00,180.00,PAID,Faixa um e TPS 30
SCL-005,SCALED,SYNTH-SCL-005,2026-08-05,CONSULTOR_MEI_ESCALONADO,10000.00,3000.00,30.00,75000.00,CONFIRMED,0.00,NONE,240.00,0.00,0.00,0.00,240.00,PAID,Faixa dois e TPS 30
SCL-006,SCALED,SYNTH-SCL-006,2026-08-05,CONSULTOR_MEI_ESCALONADO,10000.00,3000.00,30.00,175000.00,CONFIRMED,0.00,NONE,285.00,0.00,0.00,0.00,285.00,PAID,Faixa tres e TPS 30
SCL-007,SCALED,SYNTH-SCL-007,2026-08-06,CONSULTOR_MEI_ESCALONADO,10000.00,2500.00,25.00,0.00,CONFIRMED,0.00,NONE,100.00,0.00,0.00,0.00,100.00,PAID,Faixa um e TPS 25
SCL-008,SCALED,SYNTH-SCL-008,2026-08-06,CONSULTOR_MEI_ESCALONADO,10000.00,2500.00,25.00,75000.00,CONFIRMED,0.00,NONE,150.00,0.00,0.00,0.00,150.00,PAID,Faixa dois e TPS 25
SCL-009,SCALED,SYNTH-SCL-009,2026-08-06,CONSULTOR_MEI_ESCALONADO,10000.00,2500.00,25.00,175000.00,CONFIRMED,0.00,NONE,187.50,0.00,0.00,0.00,187.50,PAID,Faixa tres e TPS 25
SCL-010,SCALED,SYNTH-SCL-010,2026-08-07,CONSULTOR_MEI_ESCALONADO,10000.00,2499.00,24.99,0.00,CONFIRMED,0.00,NONE,49.98,0.00,0.00,0.00,49.98,PAID,Faixa um abaixo de TPS 25
SCL-011,SCALED,SYNTH-SCL-011,2026-08-07,CONSULTOR_MEI_ESCALONADO,10000.00,2499.00,24.99,75000.00,CONFIRMED,0.00,NONE,99.96,0.00,0.00,0.00,99.96,PAID,Faixa dois abaixo de TPS 25
SCL-012,SCALED,SYNTH-SCL-012,2026-08-07,CONSULTOR_MEI_ESCALONADO,10000.00,2499.00,24.99,175000.00,CONFIRMED,0.00,NONE,137.45,0.00,0.00,0.00,137.45,PAID,Faixa tres abaixo de TPS 25 com arredondamento
SCL-013,SCALED,SYNTH-SCL-013,2026-08-08,CONSULTOR_MEI_ESCALONADO,20000.00,7000.00,35.00,170000.00,CONFIRMED,0.00,NONE,778.75,0.00,0.00,0.00,778.75,PAID,Cruza de 170 mil para 190 mil com rateio marginal
SCL-014,SCALED,SYNTH-SCL-014,2026-08-08,CONSULTOR_MEI_ESCALONADO,10000.00,1750.00,35.00,0.00,CONFIRMED,0.00,NONE,140.00,0.00,0.00,0.00,140.00,PARTIALLY_PAID,Pagamento parcial avanca apenas producao proporcional
LDR-001,LEADERSHIP,SYNTH-LDR-001,2026-08-09,CONSULTOR,10000.00,2500.00,25.00,0.00,CONFIRMED,0.00,LIDER_MEI,200.00,75.00,0.00,0.00,275.00,PAID,Lider comercial MEI elegivel no limite TPS
LDR-002,LEADERSHIP,SYNTH-LDR-002,2026-08-09,CONSULTOR,10000.00,2499.00,24.99,0.00,CONFIRMED,0.00,LIDER_MEI,149.94,0.00,0.00,0.00,149.94,PAID,Lider comercial MEI inelegivel abaixo de TPS 25
LDR-003,LEADERSHIP,SYNTH-LDR-003,2026-08-09,CONSULTOR,10000.00,1750.00,35.00,0.00,CONFIRMED,0.00,LIDER_MEI,210.00,52.50,0.00,0.00,262.50,PARTIALLY_PAID,Lider recebe tres por cento da parcela aproveitavel
LDR-004,LEADERSHIP,SYNTH-LDR-004,2026-08-09,CONSULTOR,10000.00,3500.00,35.00,0.00,CONFIRMED,0.00,LIDER_CLT,420.00,0.00,0.00,0.00,420.00,PAID,Lider CLT nao recebe comissao comercial
LDR-005,LEADERSHIP,SYNTH-LDR-005,2026-08-09,CONSULTOR_MEI_ESCALONADO,10000.00,3500.00,35.00,0.00,CONFIRMED,0.00,LIDER_MEI,280.00,105.00,0.00,0.00,385.00,PAID,Lider comercial independente da estrategia escalonada do consultor
MAN-001,MANUAL,SYNTH-MAN-001,2026-08-10,FINALIZACAO,0.00,0.00,0.00,0.00,MANUAL,0.00,NONE,0.00,0.00,300.00,0.00,300.00,N/A,Bonus manual de Finalizacao
MAN-002,MANUAL,SYNTH-MAN-002,2026-08-10,BKO,0.00,0.00,0.00,0.00,MANUAL,0.00,NONE,0.00,0.00,0.00,300.00,300.00,N/A,Lancamento manual de BKO
MAN-003,MANUAL,SYNTH-MAN-003,2026-08-10,BKO,0.00,0.00,0.00,0.00,MANUAL,0.00,NONE,0.00,0.00,0.00,200.00,200.00,N/A,BKO de periodo anterior para carryover
REV-001,REVERSAL,SYNTH-REV-001,2026-08-11,CONSULTOR,10000.00,1000.00,24.99,0.00,REVERSED,1000.00,NONE,0.00,0.00,0.00,0.00,0.00,OPEN,Estorno integral gera debito e zera o liquido sem apagar o credito
REV-002,REVERSAL,SYNTH-REV-002,2026-08-11,CONSULTOR,10000.00,2000.00,24.99,0.00,CONFIRMED,1000.00,NONE,60.00,0.00,0.00,0.00,60.00,PARTIALLY_PAID,Total bruto inclui recebimento original e substituto de mil reais
